INSTANCE,#STATES,#TRANS
"./allBenchmarks/wahl-kroening/conditionals_vs_satabs.2/main.spec",214,280
"./allBenchmarks/wahl-kroening/buggy_spaghetti_vf_satabs.2/main.spec",326,696
"./allBenchmarks/wahl-kroening/double_lock_p3_vs_satabs.1/main.spec",46,80
"./allBenchmarks/wahl-kroening/simple_loop5_vs_satabs.2/main.spec",93,484
"./allBenchmarks/wahl-kroening/rand_cas_vs_satabs.1/main.spec",48,52
"./allBenchmarks/wahl-kroening/szymanski_vs_satabs.2/main.spec",568,8320
"./allBenchmarks/wahl-kroening/double_lock_p2_vs_satabs.2/main.spec",184,1832
"./allBenchmarks/wahl-kroening/pthread5_vs_satabs.1/main.spec",80,412
"./allBenchmarks/wahl-kroening/dekker_vs_satabs.1/main.spec",41,120
"./allBenchmarks/wahl-kroening/rand_lock_p0_vs_satabs.1/main.spec",29,42
"./allBenchmarks/wahl-kroening/double_lock_p1_vs_satabs.3/main.spec",570,7568
"./allBenchmarks/wahl-kroening/lu-fig2_fixed_vs_satabs.3/main.spec",178,1616
"./allBenchmarks/wahl-kroening/stack_cas_p0_vs_satabs.1/main.spec",41,70
"./allBenchmarks/wahl-kroening/Function_Pointer3_vs_satabs.1/main.spec",40,70
"./allBenchmarks/wahl-kroening/Boop_simple_vf_satabs.2/main.spec",330,7488
"./allBenchmarks/wahl-kroening/double_lock_p1_vs_satabs.2/main.spec",570,7600
"./allBenchmarks/wahl-kroening/spin2003_vs_satabs.1/main.spec",27,34
"./allBenchmarks/wahl-kroening/lu-fig2_fixed_vs_satabs.2/main.spec",61,184
"./allBenchmarks/wahl-kroening/stack_lock_p0_vs_satabs.2/main.spec",106,632
"./allBenchmarks/wahl-kroening/peterson_vs_satabs.1/main.spec",31,64
"./allBenchmarks/wahl-kroening/constants_vf_satabs.1/main.spec",26,24
"./allBenchmarks/wahl-kroening/double_lock_p3_vs_satabs.3/main.spec",306,3136
"./allBenchmarks/wahl-kroening/buggy_spaghetti_vf_satabs.1/main.spec",78,114
"./allBenchmarks/wahl-kroening/conditionals_vs_satabs.1/main.spec",50,54
"./allBenchmarks/wahl-kroening/double_lock_p3_vs_satabs.2/main.spec",112,744
"./allBenchmarks/wahl-kroening/szymanski_vs_satabs.1/main.spec",61,224
"./allBenchmarks/wahl-kroening/double_lock_p2_vs_satabs.1/main.spec",64,212
"./allBenchmarks/wahl-kroening/simple_loop5_vs_satabs.1/main.spec",31,48
"./allBenchmarks/wahl-kroening/rand_cas_vs_satabs.2/main.spec",110,138
"./allBenchmarks/wahl-kroening/stack_cas_p0_vs_satabs.2/main.spec",78,156
"./allBenchmarks/wahl-kroening/dekker_vs_satabs.2/main.spec",164,1344
"./allBenchmarks/wahl-kroening/pthread5_vs_satabs.2/main.spec",80,411
"./allBenchmarks/wahl-kroening/Function_Pointer3_vs_satabs.3/main.spec",2826,8960
"./allBenchmarks/wahl-kroening/rand_lock_p0_vs_satabs.2/main.spec",110,288
"./allBenchmarks/wahl-kroening/lu-fig2_fixed_vs_satabs.1/main.spec",39,36
"./allBenchmarks/wahl-kroening/stack_cas_p0_vs_satabs.3/main.spec",158,344
"./allBenchmarks/wahl-kroening/rand_lock_p0_vs_satabs.3/main.spec",234,772
"./allBenchmarks/wahl-kroening/spin2003_vs_satabs.2/main.spec",56,180
"./allBenchmarks/wahl-kroening/Function_Pointer3_vs_satabs.2/main.spec",306,840
"./allBenchmarks/wahl-kroening/Boop_simple_vf_satabs.1/main.spec",31,30
"./allBenchmarks/wahl-kroening/double_lock_p1_vs_satabs.1/main.spec",64,204
"./allBenchmarks/wahl-kroening/pthread5_vs_satabs.3/main.spec",187,1892
"./allBenchmarks/wahl-kroening/pthread5_vs_satabs.4/main.spec",187,1888
"./allBenchmarks/wahl-kroening/constants_vf_satabs.2/main.spec",262,392
"./allBenchmarks/wahl-kroening/stack_lock_p0_vs_satabs.1/main.spec",37,58
"./allBenchmarks/wahl-kroening/peterson_vs_satabs.2/main.spec",284,1984
