INSTANCE,#STATES,#TRANS,#ITER,#PRES,#TABLENODES,#RESULTMARKNODES,MAXPATH,MAXSIZE,RESULT 
extendedread-write-smallconsts,24,22,24,528,322684,21408,71,21408,safe
pingpong,6,6,4,24,427,75,11,75,safe
leabasicapproach,16,12,2,24,4030,442,23,442,unsafe
bingham_h150,153,301,152,45752,7315594,12388,158,12388,safe
fms_attic,22,20,27,540,228830,15388,44,15412,safe
mesh2x2,32,32,5,160,30142,525,40,525,safe
pncsasemiliv,31,36,7,252,340348,48656,45,48656,unsafe
manufacturing,13,6,14,84,89483,18675,41,18675,safe
csm,14,13,5,65,5210,342,23,357,safe
bingham_h25,28,51,27,1377,48969,513,33,513,safe
bingham_h250_attic,253,501,4,2004,2869137,5695,259,5695,safe
kanban,16,16,11,176,571617,74483,54,74585,unsafe
basicME,5,4,3,12,365,53,12,53,safe
