INSTANCE,#STATES,#TRANS,#ITER,#PRES,#TABLENODES,#RESULTMARKNODES,MAXPATH,MAXSIZE,RESULT 
extendedread-write-smallconsts,24,22,24,528,322684,1245,70,2738,safe
pingpong,6,6,4,24,427,28,11,28,safe
leabasicapproach,16,12,2,24,4030,180,23,180,unsafe
bingham_h150,153,301,152,45752,7315594,911,158,911,safe
fms_attic,22,20,27,540,228830,2431,44,2735,safe
mesh2x2,32,32,5,160,30142,271,40,271,safe
pncsasemiliv,31,36,7,252,340348,1652,43,3518,unsafe
manufacturing,13,6,14,84,89483,1489,41,2849,safe
csm,14,13,5,65,5210,93,23,107,safe
bingham_h25,28,51,27,1377,48969,161,33,161,safe
bingham_h250_attic,253,501,4,2004,2869137,2914,259,3316,safe
kanban,16,16,11,176,571617,1132,53,4881,unsafe
basicME,5,4,3,12,365,31,12,31,safe
pncsacover,31,36,15,540,7015463,779,53,55207,unsafe
bingham_h50,53,101,52,5252,316044,311,58,311,safe
mesh3x2,52,54,8,432,202945,796,63,802,safe
multipool,18,21,6,126,11731,116,27,130,safe
fms,22,20,15,300,15827,247,33,285,safe
MultiME,12,11,5,55,3113,66,19,68,safe
