INSTANCE,ITER,TABLESIZE,MARKINGSIZE
./allBenchmarks/wahl-kroening_easy/double_lock_p3_vs_satabs.1/main,0,99,50
./allBenchmarks/wahl-kroening_easy/double_lock_p3_vs_satabs.1/main,1,34270,1198
./allBenchmarks/wahl-kroening_easy/double_lock_p3_vs_satabs.1/main,2,324093,9814
./allBenchmarks/wahl-kroening_easy/double_lock_p3_vs_satabs.1/main,3,2366912,46826
./allBenchmarks/wahl-kroening_easy/double_lock_p3_vs_satabs.1/main,4,4088213,30180

./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,0,103,52
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,1,6016,219
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,2,15874,249
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,3,25875,277
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,4,36004,321
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,5,47610,321
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,6,57975,315
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,7,67680,325
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,8,76570,351
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,9,85882,389
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,10,95984,399
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,11,104996,435
./allBenchmarks/wahl-kroening_easy/rand_cas_vs_satabs.1/main,12,111335,347

./allBenchmarks/wahl-kroening_easy/dekker_vs_satabs.1/main,0,89,45
./allBenchmarks/wahl-kroening_easy/dekker_vs_satabs.1/main,1,64270,3381
./allBenchmarks/wahl-kroening_easy/dekker_vs_satabs.1/main,2,514385,3879
./allBenchmarks/wahl-kroening_easy/dekker_vs_satabs.1/main,3,646194,1859

./allBenchmarks/wahl-kroening_easy/rand_lock_p0_vs_satabs.1/main,0,65,33
./allBenchmarks/wahl-kroening_easy/rand_lock_p0_vs_satabs.1/main,1,3160,195
./allBenchmarks/wahl-kroening_easy/rand_lock_p0_vs_satabs.1/main,2,30338,1476
./allBenchmarks/wahl-kroening_easy/rand_lock_p0_vs_satabs.1/main,3,70418,1514

./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,0,89,45
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,1,6064,191
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,2,83363,3571
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,3,512643,12434
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,4,1379612,17873
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,5,2917327,41175
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,6,4382124,42307
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,7,5467021,27896
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,8,6244389,20683
./allBenchmarks/wahl-kroening_easy/stack_cas_p0_vs_satabs.1/main,9,6775816,14019
